listing_id,title,property_type,specific_type,bedrooms,area_sqft,price_ksh,county,city,area_name,url,price_disclosed,area_sqm,price_per_sqm,price_m,property_category
3751972,1 Bed Apartment With En Suite At Mwananchi Road,Apartments For Sale,Other Apartments For Sale,1,72.0,5900000.0,Machakos,Syokimau,Syokimau,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-syokimau-3751972,True,6.689016,882043.038916337,5.9,Apartment/Flat
3751834,Serviced 3 Bed Apartment With En Suite At Elgeyo Marakwet Road,Apartments For Sale,Other Apartments For Sale,3,215.0,28000000.0,Nairobi,Kilimani,Kilimani,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kilimani-3751834,True,19.974145,1401812.1927121286,28.0,Apartment/Flat
3751785,Studio Apartment With En Suite At Kikuyu - Naivasha Road,Apartments For Sale,Other Apartments For Sale,0,24.0,2500000.0,Nairobi,Riara Road,Riruta,https://www.buyrentkenya.com/listings/studio-apartment-for-sale-riruta-3751785,True,2.229672,1121241.151164835,2.5,Apartment/Flat
3751784,0.125 Ac Land At Nyeri - Marina Road,Land For Sale,Other Land For Sale,0,125.0,280000.0,Nyeri,Nyeri,Nyeri,https://www.buyrentkenya.com/listings/0125-ac-land-for-sale-nyeri-3751784,True,11.612875,24111.16971464861,0.28,Land
3751781,0.25 Ac Land At Casaurina Watamu Road,Land For Sale,Other Land For Sale,0,25.0,5000000.0,Kilifi,Malindi,Malindi,https://www.buyrentkenya.com/listings/025-ac-land-for-sale-malindi-3751781,True,2.322575,2152783.010236483,5.0,Land
3751779,0.125 Ac Land At Casaurina Watamu Road,Land For Sale,Other Land For Sale,0,125.0,3000000.0,Kilifi,Malindi,Malindi,https://www.buyrentkenya.com/listings/0125-ac-land-for-sale-malindi-3751779,True,11.612875,258333.96122837797,3.0,Land
3751770,0.25 Ac Residential Land At Maasai Lodge Road,Land For Sale,Residential Land For Sale,0,25.0,8500000.0,Kajiado,Ongata Rongai,Ongata Rongai,https://www.buyrentkenya.com/listings/025-ac-residential-land-for-sale-ongata-rongai-3751770,True,2.322575,3659731.1174020213,8.5,Land
3667495,2 Bed Apartment With En Suite In Lavington,Apartments For Sale,Other Apartments For Sale,2,,19000000.0,Nairobi,Lavington,Lavington,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-lavington-3667495,True,,,19.0,Apartment/Flat
3751758,1 Bed Apartment With En Suite At Kiambu Road,Apartments For Sale,Other Apartments For Sale,1,63.0,5200000.0,Kiambu,Thindigua,Thindigua,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-thindigua-3751758,True,5.852889,888450.1312087073,5.2,Apartment/Flat
3751751,0.125 Ac Residential Land At Isinya - Pipeline Road,Land For Sale,Residential Land For Sale,0,125.0,1200000.0,Kajiado,Isinya,Isinya,https://www.buyrentkenya.com/listings/0125-ac-residential-land-for-sale-isinya-3751751,True,11.612875,103333.58449135118,1.2,Land
3693288,2 Bed Apartment With En Suite At George Padmore,Apartments For Sale,Other Apartments For Sale,2,,9900000.0,Nairobi,Kilimani,Kilimani,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-3693288,True,,,9.9,Apartment/Flat
3751735,2 Bed Apartment With En Suite At Kirichwa Road,Apartments For Sale,Other Apartments For Sale,2,1262.0,14500000.0,Nairobi,Kilimani,Kilimani,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-3751735,True,117.243586,123674.14282261889,14.5,Apartment/Flat
3694291,1 Bed Apartment With En Suite At Sports Road,Apartments For Sale,Other Apartments For Sale,1,,13000000.0,Nairobi,Westlands,Westlands Area,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-3694291,True,,,13.0,Apartment/Flat
3751711,3 Bed Apartment With En Suite At Banana - Raini Road,Apartments For Sale,Other Apartments For Sale,3,947.0,4800000.0,Kiambu,Ruaka,Ruaka,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-ruaka-3751711,True,87.979141,54558.38674305765,4.8,Apartment/Flat
3751699,0.743 Ac Land At Prof. David Wasawo Drive,Land For Sale,Other Land For Sale,0,743.0,300000000.0,Nairobi,Westlands,Riverside,https://www.buyrentkenya.com/listings/0743-ac-land-for-sale-riverside-3751699,True,69.026929,4346129.8995352965,300.0,Land
3751667,0.25 Ac Residential Land At Isinya-Pipeline Road,Land For Sale,Residential Land For Sale,0,25.0,600000.0,Kajiado,Isinya,Isinya,https://www.buyrentkenya.com/listings/025-ac-residential-land-for-sale-isinya-3751667,True,2.322575,258333.96122837797,0.6,Land
3751586,0.125 Ac Residential Land At Namanga Road,Land For Sale,Residential Land For Sale,0,125.0,2500000.0,Kajiado,Kitengela,Kitengela,https://www.buyrentkenya.com/listings/0125-ac-residential-land-for-sale-kitengela-3751586,True,11.612875,215278.3010236483,2.5,Land
3751283,0.1 Ha Residential Land At Gikambura,Land For Sale,Residential Land For Sale,0,1.0,5000000.0,Kiambu,Kikuyu,Kikuyu Town,https://www.buyrentkenya.com/listings/01-ha-residential-land-for-sale-kikuyu-town-3751283,True,0.092903,53819575.25591208,5.0,Land
3751392,0.2 Ac Commercial Property With Service Charge Included At Fedha,Commercial Property For Sale,Other Commercial Property For Sale,0,2.0,129000000.0,Nairobi,Embakasi,Embakasi,https://www.buyrentkenya.com/listings/02-ac-commercial-property-for-sale-embakasi-3751392,True,0.185806,694272520.8012658,129.0,Commercial
3751354,3 Bed Apartment With En Suite In Nyali Area,Apartments For Sale,Other Apartments For Sale,3,,18000000.0,Mombasa,Nyali,Nyali Area,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-nyali-area-3751354,True,,,18.0,Apartment/Flat
3751343,3 Bed Apartment With En Suite In Nyali Area,Apartments For Sale,Other Apartments For Sale,3,200.0,10000000.0,Mombasa,Nyali,Nyali Area,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-nyali-area-3751343,True,18.5806,538195.7525591208,10.0,Apartment/Flat
3751335,4 Bed Apartment With En Suite In Kizingo,Apartments For Sale,Other Apartments For Sale,4,3600.0,35000000.0,Mombasa,Mombasa Island,Kizingo,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kizingo-3751335,True,334.4508,104649.17410871793,35.0,Apartment/Flat
3751326,4 Bed Apartment With Borehole At Pwani Road,Apartments For Sale,Other Apartments For Sale,4,4000.0,65000000.0,Mombasa,Mombasa Island,Kizingo,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kizingo-3751326,True,371.612,174913.61958171424,65.0,Apartment/Flat
3751301,Commercial Property In Industrial Area,Commercial Property For Sale,Other Commercial Property For Sale,0,,90000000.0,Nairobi,Industrial Area,Industrial Area,https://www.buyrentkenya.com/listings/commercial-property-for-sale-industrial-area-3751301,True,,,90.0,Commercial
3751292,"14,061 Ft² Warehouse In Mombasa Road",Commercial Property For Sale,Warehouses For Sale,0,14061.0,85000000.0,Nairobi,Mombasa Road,Mombasa Road,https://www.buyrentkenya.com/listings/14061-ft2-warehouse-for-sale-mombasa-road-3751292,True,1306.309083,65068.827206493515,85.0,House/Townhouse
3751260,Land At Kitengela,Land For Sale,Other Land For Sale,0,,90000000.0,Machakos,Athi River,Athi River,https://www.buyrentkenya.com/listings/land-for-sale-athi-river-area-3751260,True,,,90.0,Land
3745264,2.5 Ac Land In Industrial Area,Land For Sale,Other Land For Sale,0,25.0,700000000.0,Nairobi,Industrial Area,Industrial Area,https://www.buyrentkenya.com/listings/25-ac-land-for-sale-industrial-area-3745264,True,2.322575,301389621.4331076,700.0,Land
3750396,0.05 Ha Residential Land At Kamangu,Land For Sale,Residential Land For Sale,0,5.0,1900000.0,Kiambu,Kikuyu,Kikuyu Town,https://www.buyrentkenya.com/listings/005-ha-residential-land-for-sale-kikuyu-town-3750396,True,0.464515,4090287.719449318,1.9,Land
3751199,Residential Land At James Gichuru,Land For Sale,Residential Land For Sale,0,,300000000.0,Nairobi,Lavington,Lavington,https://www.buyrentkenya.com/listings/residential-land-for-sale-lavington-3751199,True,,,300.0,Land
3751194,4 Bed Townhouse With En Suite At Thogoto,Houses For Sale,Townhouses For Sale,4,150.0,14000000.0,Kiambu,Kikuyu,Gikambura,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-gikambura-3751194,True,13.93545,1004632.0714436922,14.0,House/Townhouse
3751133,3 Bed Townhouse With En Suite At Sabaki,Houses For Sale,Townhouses For Sale,3,140.0,12300000.0,Machakos,Athi River,Athi River,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-athi-river-area-3751133,True,13.00642,945686.8223538836,12.3,House/Townhouse
3430746,2 Bed Apartment With En Suite In Athi River,Apartments For Sale,Other Apartments For Sale,2,,4800000.0,Machakos,Athi River,Athi River,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-athi-river-area-2-3430746,True,,,4.8,Apartment/Flat
3750950,2 Bed Apartment With En Suite At Kiambu Road,Apartments For Sale,Other Apartments For Sale,2,95.0,8900000.0,Kiambu,Thindigua,Thindigua,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-thindigua-3750950,True,8.825785,1008408.8837423527,8.9,Apartment/Flat
3750917,3 Bed Apartment With En Suite In Nyali Area,Apartments For Sale,Other Apartments For Sale,3,,22500000.0,Mombasa,Nyali,Nyali Area,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-nyali-area-3750917,True,,,22.5,Apartment/Flat
3750914,2 Bed Apartment With En Suite In Nyali Area,Apartments For Sale,Other Apartments For Sale,2,,19000000.0,Mombasa,Nyali,Nyali Area,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-nyali-area-3750914,True,,,19.0,Apartment/Flat
3750910,1 Bed Apartment With En Suite In Nyali Area,Apartments For Sale,Other Apartments For Sale,1,,11800000.0,Mombasa,Nyali,Nyali Area,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-nyali-area-3750910,True,,,11.8,Apartment/Flat
3750872,Land At Off Lower Kabete Rd,Land For Sale,Other Land For Sale,0,,420000000.0,Nairobi,Westlands,Lower Kabete,https://www.buyrentkenya.com/listings/land-for-sale-lower-kabete-3750872,True,,,420.0,Land
3750811,5 Bed Apartment With En Suite In Parklands,Apartments For Sale,Other Apartments For Sale,5,,40000000.0,Nairobi,Westlands,Parklands,https://www.buyrentkenya.com/listings/5-bedroom-apartment-for-sale-parklands-3750811,True,,,40.0,Apartment/Flat
3750749,Land At Maiyan- Doldol Road,Land For Sale,Other Land For Sale,0,,290000.0,Laikipia,Nanyuki,Nanyuki,https://www.buyrentkenya.com/listings/land-for-sale-nanyuki-3750749,True,,,0.29,Land
3750633,Commercial Land At Konza - Malili,Land For Sale,Commercial Land For Sale,0,,33000000.0,Machakos,Konza City,Konza City,https://www.buyrentkenya.com/listings/commercial-land-for-sale-konza-city-3750633,True,,,33.0,Land
3750596,Commercial Property At Kihunguro,Commercial Property For Sale,Other Commercial Property For Sale,0,,26000000.0,Kiambu,Ruiru,Ruiru,https://www.buyrentkenya.com/listings/commercial-property-for-sale-ruiru-3750596,True,,,26.0,Commercial
3750607,0.2 Ha Residential Land At Gikambura,Land For Sale,Residential Land For Sale,0,2.0,23500000.0,Kiambu,Kikuyu,Kikuyu Town,https://www.buyrentkenya.com/listings/02-ha-residential-land-for-sale-kikuyu-town-3750607,True,0.185806,126476001.85139339,23.5,Land
3750534,10 Bed Apartment In Kitengela,Apartments For Sale,Other Apartments For Sale,10,,35000000.0,Kajiado,Kitengela,Kitengela,https://www.buyrentkenya.com/listings/10-bedroom-apartment-for-sale-kitengela-3750534,True,,,35.0,Apartment/Flat
3750528,4 Bed Townhouse With En Suite In Lavington,Houses For Sale,Townhouses For Sale,4,,70000000.0,Nairobi,Lavington,Lavington,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3750528,True,,,70.0,House/Townhouse
3749623,"6,709 Ft² Warehouse With Backup Generator In Eastern Bypass",Commercial Property For Sale,Warehouses For Sale,0,6709.0,25494200.0,Kiambu,Ruiru,Eastern Bypass,https://www.buyrentkenya.com/listings/6709-ft2-warehouse-for-sale-eastern-bypass-3749623,True,623.2862269999999,40902.87719449319,25.4942,House/Townhouse
